date,daily_close,percent_change
2024-08-24,160.64,5.041522265088583
2024-08-25,158.63,-1.2512450199203107
2024-08-26,157.04,-1.002332471789702
2024-08-27,146.82,-6.507896077432496
2024-08-28,143.83,-2.036507287835432
2024-08-29,139.93,-2.7115344503928274
2024-08-30,138.22,-1.2220395912241888
2024-08-31,135.3,-2.1125741571407786
2024-09-01,128.79,-4.811529933481163
2024-09-02,134.98,4.806273779020098
2024-09-03,127.58,-5.482293673136751
2024-09-04,133.57,4.695093274807949
2024-09-05,129.27,-3.2192857677622144
2024-09-06,124.89,-3.3882571362265135
2024-09-07,127.69,2.2419729361838447
2024-09-08,129.92,1.7464171039235588
2024-09-09,134.88,3.817733990147798
2024-09-10,135.54,0.48932384341637825
2024-09-11,132.6,-2.1691013722886177
2024-09-12,136.21,2.7224736048265585
2024-09-13,138.97,2.0262829454518627
2024-09-14,137.18,-1.288047780096413
2024-09-15,131.62,-4.0530689604898695
2024-09-16,131.52,-0.07597629539582984
2024-09-17,131.52,0.0
2024-09-18,133.61,1.5891119221411287
2024-09-19,142.69,6.795898510590503
2024-09-20,146.48,2.656107645945749
2024-09-21,149.67,2.177771709448395
2024-09-22,144.84,-3.2270996191621437
2024-09-23,144.89,0.034520850593744434
2024-09-24,152.89,5.521430050383058
2024-09-25,148.11,-3.1264307672182468
2024-09-26,155.47,4.969279589494291
2024-09-27,157.8,1.498681417636849
2024-09-28,156.96,-0.5323193916349833
2024-09-29,158.62,1.0575942915392433
2024-09-30,152.54,-3.833060143739764
2024-10-01,145.21,-4.805296971286211
2024-10-02,140.45,-3.278011156256466
2024-10-03,136.65,-2.705589177643275
2024-10-04,143.16,4.763995609220628
2024-10-05,142.74,-0.2933780385582452
2024-10-06,146.35,2.529073840549234
2024-10-07,144.21,-1.462248035531255
2024-10-08,143.43,-0.5408778864156472
2024-10-09,139.33,-2.8585372655650754
2024-10-10,138.76,-0.4091006961889243
2024-10-11,145.32,4.727587200922456
2024-10-12,146.58,0.8670520231214063
2024-10-13,147.49,0.620821394460358
2024-10-14,157.35,6.685198996542119
2024-10-15,154.62,-1.7349857006672909
2024-10-16,154.26,-0.2328288707799886
2024-10-17,150.27,-2.586542201478015
2024-10-18,155.07,3.1942503493711305
2024-10-19,159.59,2.9148126652479567
2024-10-20,166.57,4.373707625791079
2024-10-21,166.38,-0.11406615837185052
2024-10-22,167.21,0.49885803582161437
2024-10-23,171.31,2.452006458943834
2024-10-24,177.37,3.537446733991012
2024-10-25,164.34,-7.346225404521622
2024-10-26,170.56,3.7848363149567854
2024-10-27,176.63,3.558864915572224
2024-10-28,178.14,0.8548944120477797
2024-10-29,179.37,0.6904681711013883
2024-10-30,175.08,-2.3917042983776504
2024-10-31,168.4,-3.815398674891479
2024-11-01,166.29,-1.2529691211401461
2024-11-02,166.0,-0.17439413073545573
2024-11-03,162.67,-2.0060240963855502
2024-11-04,157.61,-3.110591996065637
2024-11-05,166.51,5.646849819173894
2024-11-06,187.17,12.4076632034112
2024-11-07,196.2,4.824491104343642
2024-11-08,199.83,1.8501529051987875
2024-11-09,200.17,0.17014462292948007
2024-11-10,210.19,5.0057451166508615
2024-11-11,222.64,5.923212331699879
2024-11-12,213.07,-4.298418972332008
2024-11-13,215.08,0.9433519500633647
2024-11-14,209.37,-2.6548261112144367
2024-11-15,219.09,4.642498925347471
2024-11-16,216.05,-1.3875576247204258
2024-11-17,237.47,9.914371673223776
2024-11-18,239.78,0.9727544531940913
2024-11-19,237.91,-0.7798815580949192
2024-11-20,236.04,-0.7860115169601944
2024-11-21,257.25,8.985765124555156
2024-11-22,256.25,-0.38872691933916625
2024-11-23,254.7,-0.6048780487804883
2024-11-24,253.64,-0.4161758932076931
2024-11-25,234.54,-7.530357987699099
2024-11-26,230.78,-1.603138057474196
2024-11-27,242.47,5.06543027992028
2024-11-28,237.65,-1.9878747886336479
2024-11-29,243.7,2.5457605722701393
2024-11-30,238.16,-2.273286828067289
2024-12-01,237.55,-0.2561303325495423
2024-12-02,225.53,-5.059987371079777
2024-12-03,234.99,4.194563916108729
2024-12-04,229.07,-2.5192561385590895
2024-12-05,237.3,3.5927882306718617
2024-12-06,237.01,-0.12220817530552708
2024-12-07,238.89,0.793215476140241
2024-12-08,237.58,-0.5483695424672308
2024-12-09,217.62,-8.401380587591555
2024-12-10,213.53,-1.87942284716478
2024-12-11,227.07,6.341029363555473
2024-12-12,227.03,-0.017615713216190265
2024-12-13,224.6,-1.0703431264590613
2024-12-14,219.87,-2.1059661620658865
2024-12-15,224.54,2.1239823532086977
2024-12-16,216.52,-3.5717466821056254
2024-12-17,222.74,2.872713837058938
2024-12-18,205.36,-7.802819430726404
2024-12-19,194.9,-5.093494351382944
2024-12-20,194.12,-0.4002052334530548
2024-12-21,181.03,-6.743251596950339
2024-12-22,180.15,-0.4861072750372841
2024-12-23,189.84,5.378850957535386
