date,daily_close,percent_change
2024-09-04,1.35649064725869e-05,3.538391289625098
2024-09-05,1.3185807951781754e-05,-2.7947005869245145
2024-09-06,1.2802676792059153e-05,-2.9056327918899227
2024-09-07,1.2852082167263365e-05,0.3858987929372226
2024-09-08,1.3059237910790054e-05,1.611845775887999
2024-09-09,1.3535528233768552e-05,3.6471525079190714
2024-09-10,1.3550015326035938e-05,0.10703012115362842
2024-09-11,1.3273881098870151e-05,-2.0378886703928956
2024-09-12,1.3524929715888761e-05,1.891297768517597
2024-09-13,1.3989433503267259e-05,3.434426626504461
2024-09-14,1.3737351180323727e-05,-1.8019480408885569
2024-09-15,1.3397527836387409e-05,-2.4737181096676997
2024-09-16,1.3180083985468964e-05,-1.6230147350608348
2024-09-17,1.3309007400899293e-05,0.978168390827161
2024-09-18,1.365416138386544e-05,2.5933863628539777
2024-09-19,1.4127511687534404e-05,3.4667109195611445
2024-09-20,1.4353491954336976e-05,1.5995758616286881
2024-09-21,1.5001616300513328e-05,4.515447169498832
2024-09-22,1.4547832315012221e-05,-3.0249006267783263
2024-09-23,1.4497092239569903e-05,-0.3487810028574345
2024-09-24,1.484443265240357e-05,2.3959315916166846
2024-09-25,1.5232258866648938e-05,2.612603818055459
2024-09-26,1.866105831674217e-05,22.510118033777605
2024-09-27,2.0376177442555914e-05,9.190899555117893
2024-09-28,1.9708579864844396e-05,-3.2763631922307135
2024-09-29,1.9360159838006625e-05,-1.7678596287867165
2024-09-30,1.756362428181764e-05,-9.279549193918013
2024-10-01,1.6423610019837146e-05,-6.4907688964894845
2024-10-02,1.625234666103557e-05,-1.0427875393699493
2024-10-03,1.603879392822249e-05,-1.3139809116000878
2024-10-04,1.740323052106291e-05,8.507102210718642
2024-10-05,1.744673134525274e-05,0.2499583289273799
2024-10-06,1.8119779801290774e-05,3.8577338225659785
2024-10-07,1.751584614986218e-05,-3.333007674770816
2024-10-08,1.7252225555485466e-05,-1.5050405907954811
2024-10-09,1.6927216944028262e-05,-1.8838648405791636
2024-10-10,1.6731984900008798e-05,-1.153361740828518
2024-10-11,1.76267956341994e-05,5.347905460936264
2024-10-12,1.7849994271659255e-05,1.2662462428894683
2024-10-13,1.7580968389623642e-05,-1.5071482821860105
2024-10-14,1.8706333544379907e-05,6.401041909730409
2024-10-15,1.8177745455238556e-05,-2.8257172250633733
2024-10-16,1.856522634115258e-05,2.1316223558535796
2024-10-17,1.8172144816924293e-05,-2.117299929476024
2024-10-18,1.8797623052059682e-05,3.441961537489302
2024-10-19,1.9051250670433064e-05,1.3492536671842137
2024-10-20,1.896500809984593e-05,-0.4526871861540327
2024-10-21,1.8365628648517334e-05,-3.160449224028883
2024-10-22,1.8128734220483324e-05,-1.289879222583179
2024-10-23,1.767427823222995e-05,-2.506826912051552
2024-10-24,1.8050032364171034e-05,2.1259942103654117
2024-10-25,1.650910800005972e-05,-8.536961779470376
2024-10-26,1.7002225032127885e-05,2.986939282645573
2024-10-27,1.7218632870356215e-05,1.2728206915236129
2024-10-28,1.8215711402917834e-05,5.790695115395605
2024-10-29,1.909856605459018e-05,4.846665782874271
2024-10-30,1.8449857864422273e-05,-3.396632963509816
2024-10-31,1.793105769050979e-05,-2.811946724602732
